Frame,X position (pixels),Y position (pixels),Intensity,Fit Radius
10,84.352,200.52,14065,1.0294
10,111.67,83.425,10646,1.6435
10,110.9,92.095,9311.3,1.5735
10,141.63,106.98,10289,1.4248
10,39.381,112.75,13413,2.8689
10,26.313,117.87,12354,2.527
10,117.96,125,13042,2.641
10,151.61,129.52,9885.8,1.6393
10,104.2,149.98,12965,2.2334
10,167.27,118.09,8643.3,0.70673
10,184.34,55,7999.1,0.57353
10,138.9,108.3,9266.6,0.81558
10,203.08,112.03,6239.7,2.1836
10,165.5,114.98,9039,0.65968
10,146.29,136.53,5932.5,0.74057
10,11.974,140.46,6622.1,1.0762
10,171.38,149.93,9227.8,1.1231
10,188.43,145.06,7403.3,2.2949
10,147.09,169.3,16241,2.5692
11,143.03,58.387,19035,1.5124
11,129.13,148.7,12358,1.179
11,104.67,150.15,14367,1.6585
11,135.04,151.89,15436,1.3509
11,163.42,63.825,8916,1.0174
11,132.64,67.12,11528,0.74733
11,111.78,83.523,11933,1.1488
11,202,88.836,11398,0.93652
11,152.25,95.305,28738,0.80775
11,92.163,113.52,8643.6,0.86025
11,118.31,114.16,22397,0.92251
11,167.61,117.89,13255,1.2711
11,87.02,119.18,14947,2.6611
11,117.26,127.43,25136,1.0908
11,142.62,131.74,11387,0.82142
11,145.02,136.54,10709,0.96243
11,165.85,139.72,10438,1.1086
11,43.471,154.01,10212,0.48209
11,173.38,156.34,8850.3,0.8745
11,155.13,158.72,9029.5,0.7233
11,157.55,176.29,15570,0.90148
11,83.863,200.79,11114,1.0246
11,146.06,127.72,8278.6,0.85043
11,162.95,37.796,8542.4,1.3787
11,67.104,82.029,8608.3,1.458
11,175.53,93.087,10338,1.5889
11,130.87,107.53,8774.1,1.4931
11,201.35,110.81,13573,2.5267
11,159.05,121.15,10036,1.1667
11,103.47,127.52,13111,1.5795
11,175.27,204.58,8290.7,1.8613
11,193.31,49.406,5697.2,0.97406
11,185.05,54.873,12243,0.48728
11,196.21,83.746,8007.7,0.76013
11,147.85,85.884,7598.5,1.2087
11,45.949,90.715,7009,1.3737
11,183.29,111.6,8164.7,0.68556
11,151.86,130.21,9198.5,0.5178
11,188.95,145.07,7794.8,1.0156
11,187.16,153.28,8147.7,0.66358
11,77.29,154.88,5947.2,1.9176
11,171.94,188.52,7759,0.75815
11,168,39.486,7100.3,0.92078
11,117.87,122.6,12915,1.7831
11,99.943,126.88,9868.2,1.1245
11,171.19,149.95,6790.8,1.4414
11,185.21,110.94,17129,2.9448
11,141.62,64.569,9294.4,2.2954
12,145.74,77.947,17161,1.0871
12,174.98,93.108,12086,1.3225
12,116.25,123.42,21301,1.0816
12,103.92,127.35,13368,0.69147
12,142.91,132.35,8922.5,1.7082
12,185.1,48.245,9525.6,0.93735
12,135.69,58.637,7130.3,0.90122
12,132.83,66.987,17988,0.85676
12,111.54,82.98,12405,1.0057
12,127.83,89.457,21594,0.90148
12,201.86,89.088,8046.4,0.81462
12,139.28,108.6,14043,0.76856
12,167.73,110.95,11206,0.88277
12,92.364,113.96,10742,1.1053
12,133.19,125.24,9074.1,1.0809
12,130.58,149.19,26929,0.9755
12,135.38,152.38,16689,0.82812
12,186.73,153.13,7510.5,0.96085
12,142.67,57.697,8419.8,1.3376
12,185.75,98.543,11512,1.7312
12,167.37,117.37,15194,1.6805
12,103.77,150.13,15781,1.8647
12,173.43,156.19,6635.2,0.86062
12,152.07,158.03,7595,1.4386
12,156.75,176.26,13801,1.828
12,184.48,55.258,11654,0.68378
12,158.8,121.11,16195,1.435
12,159.14,92.599,11169,1.1865
12,126.65,107.76,10103,1.2247
12,183.92,136.22,7793.8,1.0956
12,171.15,149.43,7224.1,0.79254
12,100.44,126.93,7200.5,1.096
12,127.89,148.41,10559,1.0266
12,153.58,177.78,7164.2,0.89474
12,165.64,41.624,8994.6,2.7193
12,224.53,158.88,5553.6,1.9449
12,152.42,129.85,8230.2,1.9793
13,145.62,78.049,33941,1.3766
13,111.76,83.547,12793,1.3432
13,116.02,123.52,24897,1.0401
13,142.56,58.649,15322,1.9519
