Frame,X position (pixels),Y position (pixels),Intensity,Fit Radius
43,69.921,94.539,8321.9,1.1
43,104.16,95.793,11298,1.1
43,36.996,100.02,7931.2,1.1
43,101.37,117.18,15590,1.1
43,88.02,55.13,11015,1.1
44,119.26,79.354,8177.1,1.1
44,77.979,96.29,9261.5,1.1
44,100.66,117.37,9939.7,1.1
44,58.15,136.51,6885.5,1.1
44,75.884,158.2,8541.9,1.1
44,84.515,53.522,9903.6,1.1
44,137.01,44.244,8967.9,1.1
45,44.894,75.038,10189,1.1
45,77.073,76.692,9325.6,1.1
45,119.09,79.238,8605.9,1.1
45,104.41,95.431,14341,1.1
45,59.042,136.17,8638.8,1.1
45,82.904,148.39,9863.2,1.1
45,121.99,148.66,7196,1.1
45,58.316,51.649,7347.1,1.1
46,94.095,70.081,10441,1.1
46,64.299,88.063,7047.7,1.1
46,123.01,87.907,9990,1.1
46,127.51,91.058,8189.1,1.1
46,113.77,108.65,10097,1.1
46,119.74,111.23,9082.8,1.1
46,48.464,136.2,9041.6,1.1
46,81.965,148.23,6629.9,1.1
46,122.59,148.91,7225.3,1.1
46,58.548,50.84,11748,1.1
47,70.046,93.98,9561.4,1.1
47,105.02,95.152,12503,1.1
47,81.148,132.77,7560.5,1.1
47,75.253,157.5,10748,1.1
47,51.62,44.928,7490.9,1.1
48,60.002,57.323,8065.9,1.1
48,114.07,57.364,9117.3,1.1
48,101.65,117.41,10642,1.1
48,105.53,123.56,9855.9,1.1
48,48.927,135.75,7903,1.1
48,87.936,168.82,8467.2,1.1
48,98.95,39.922,6784.4,1.1
49,57.779,51.088,12967,1.1
49,77.138,59.96,7993.8,1.1
49,48.388,82.96,7742.6,1.1
49,104.77,95.982,13583,1.1
49,78.532,96.902,8551.6,1.1
49,102.28,116.42,12649,1.1
49,96.506,132.17,6309.8,1.1
49,112.62,148.1,9200.5,1.1
49,87.473,154.81,12691,1.1
49,57.929,51.337,10730,1.1
50,114.72,56.624,10977,1.1
50,76.909,76.425,9068.5,1.1
50,47.74,83.12,8772.8,1.1
50,117.67,100.71,8226.3,1.1
50,101.92,117.13,15750,1.1
50,124.77,118.4,7474.1,1.1
50,9.7291,154.88,4965.2,1.1
50,119.15,116.51,9880.3,1.1
50,85.877,54.183,6972.8,1.1
51,93.278,70.415,9010.1,1.1
51,31.607,76.015,5836.2,1.1
51,71.367,143.3,8577,1.1
51,86.834,154.56,8850,1.1
51,110.79,154.89,9309.4,1.1
51,98.442,9.2113,5716.2,1.1
52,75.159,19.275,7390.7,1.1
52,57.537,51.639,8638.1,1.1
52,114.99,56.608,7331.6,1.1
52,60.121,57.539,8911.5,1.1
52,95.314,90.992,6338.6,1.1
52,102.44,116.63,10326,1.1
52,112.28,147.82,11903,1.1
52,123.12,148.81,7791.3,1.1
52,112.18,147.81,9925.7,1.1
53,123.14,148.44,8058.5,1.1
53,75.047,158.12,10942,1.1
53,58.044,50.933,11762,1.1
54,42.941,53.297,9300.6,1.1
54,102.5,95.681,12065,1.1
54,36.198,111.95,6155.8,1.1
54,49.632,135.79,7113.2,1.1
54,99.418,143.11,6741,1.1
54,111.72,147.92,8714.1,1.1
54,97.039,170.38,5639,1.1
54,84.231,171.3,8900.5,1.1
54,78.726,46.579,6665.2,1.1
55,60.106,57.208,8824.1,1.1
55,117.56,79.557,10559,1.1
55,105.14,95.205,10628,1.1
55,113.87,107.33,13808,1.1
55,94.487,117.16,7993.8,1.1
55,108.13,119.02,7434.6,1.1
55,43.916,138.96,5882.1,1.1
55,46.601,147.06,10840,1.1
55,98.096,170.05,13212,1.1
